name,code
Cartography,CART
Census Department,CENS
Data Administration Centre,DAC
Finance & Accounts,FA
General Services,GS
Human Resources Management,HRM
Information Communication Technology,ICT
Internal Audit,IA
Legal Services,LS
Planning and Research,PRD
Population Management,PMD
Population Studies,PSD
Procurement,PROC
Public Affairs,PAD
Special Duties,SD
Vital Registration,VRD
